ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID195198670,23 Duffy St,4,h,1180000.0,25/02/2017,3.0,2.0,688.0,59.0,-37.7713,144.8937
ID426935414,73 Westbourne Gr,3,h,1550000.0,15/07/2017,2.0,2.0,422.0,69.0,-37.77348,144.99206
ID924392942,19 Charles St,3,h,1360000.0,23/09/2017,2.0,1.0,184.0,109.0,-37.776509999999995,144.99074
ID781852666,283 Tyler St,3,h,928000.0,18/03/2017,2.0,1.0,0.0,69.0,-37.7307,145.0097
ID345928500,8/211 Edwardes St,2,u,336000.0,3/12/2016,1.0,1.0,99.0,49.0,-37.7166,144.9911
ID317414938,2b Rice St,3,t,910000.0,12/11/2016,2.0,2.0,312.0,19.0,-37.9412,145.0491
ID171719689,8/102 Cross St,2,u,480000.0,3/06/2017,1.0,1.0,1157.0,99.0,-37.800290000000004,144.87859
ID769666978,1/22 Rathmines St,2,u,667000.0,17/06/2017,1.0,1.0,86.0,10.0,-37.78203,145.01508
ID826546296,8 Gordon Pde,3,h,990000.0,6/05/2017,1.0,2.0,340.0,79.0,-37.8227,144.8827
ID679739347,118 Rowans Rd,3,h,901000.0,16/07/2016,2.0,3.0,558.0,64.0,-37.9435,145.0522
ID776930874,129 Hambleton St,3,h,1630000.0,29/04/2017,1.0,0.0,143.0,119.0,-37.8484,144.963
ID271480181,4/129 Mountain View Rd,2,t,625000.0,19/08/2017,2.0,1.0,189.0,13.0,-37.70835,145.11795
ID361482205,48 Gordon St,3,h,1510000.0,28/05/2016,1.0,1.0,453.0,49.0,-37.7772,145.0232
ID404594744,302/34 Union St,2,u,1180000.0,27/11/2016,1.0,1.0,0.0,9.0,-37.7738,144.9585
ID143752726,74 Bridport St,3,h,2800000.0,30/07/2016,3.0,1.0,0.0,129.0,-37.8399,144.9577
ID307578621,7 Huxley Ct,4,h,1030000.0,24/06/2017,2.0,2.0,1094.0,49.0,-37.85757,145.2615
ID357469763,21 Eden St,2,h,650000.0,12/08/2017,1.0,0.0,683.0,21.0,-37.75022,145.04778000000005
ID194053751,3/40 Rowland St,2,u,891000.0,28/05/2016,1.0,1.0,121.0,10.0,-37.8126,145.0534
ID720446462,166 Gordon St,2,h,2100000.0,3/09/2016,1.0,1.0,659.0,99.0,-37.8094,145.0807
ID522119116,305/28 Burnley St,1,u,327000.0,7/11/2016,1.0,1.0,0.0,7.0,-37.8127,145.0094
ID862804056,107/480 Albion St,2,u,400500.0,11/02/2017,1.0,1.0,0.0,6.0,-37.7582,144.94
ID837932520,13 Brockley Rd,4,h,1010000.0,28/05/2016,2.0,2.0,607.0,4.0,-37.716,144.9663
ID303975081,1/236 Patterson Rd,3,u,875000.0,3/09/2016,1.0,2.0,348.0,69.0,-37.9273,145.0479
ID539700737,202b Edward St,3,h,1170000.0,15/10/2016,2.0,0.0,185.0,21.0,-37.7755,144.9744
ID202907977,20 Austral Av,4,h,1485000.0,29/07/2017,1.0,2.0,509.0,99.0,-37.74684,144.9933
ID955498557,23 Gardner St,3,t,1012000.0,27/06/2016,2.0,1.0,80.0,59.0,-37.8155,145.0061
ID908040229,19 Athenry Tce,3,h,1280000.0,8/07/2017,2.0,2.0,926.0,11.0,-37.75091,145.16761
ID967501110,309/416 Gore St,2,u,790000.0,22/08/2016,1.0,1.0,0.0,19.0,-37.7967,144.9836
ID260809071,92 Glenroy Rd,4,h,750000.0,3/06/2017,2.0,3.0,659.0,39.0,-37.70619,144.92916
ID999881268,3 Ponsford Pl,4,h,605000.0,23/09/2017,2.0,2.0,738.0,19.0,-37.58457,144.70005
ID556149726,3 Lyall Dr,3,h,490000.0,3/06/2017,2.0,4.0,1022.0,14.0,-37.90811,144.64373
ID226735836,13/68 Kororoit Creek Rd,2,u,367500.0,24/09/2016,1.0,1.0,0.0,49.0,-37.8571,144.8841
ID705006480,27 Westbourne St,3,h,1442000.0,30/07/2016,1.0,2.0,199.0,119.0,-37.8494,145.005
ID119431392,8 Thomas St,2,h,1310000.0,24/09/2016,3.0,2.0,302.0,1.0,-37.9182,145.0231
ID413137922,7/27 High St,3,t,1310000.0,15/10/2016,2.0,2.0,330.0,18.0,-37.8167,145.107
ID398647404,33 Edwardes St,3,h,810000.0,25/02/2017,2.0,3.0,486.0,5.0,-37.7164,145.0048
ID991003299,82/390 Toorak Rd,3,u,1072000.0,13/08/2016,0.0,0.0,0.0,49.0,-37.8407,145.0043
ID921722818,18 Davis St,4,h,1055000.0,3/09/2017,1.0,1.0,560.0,29.0,-37.74192,144.95096999999996
ID369203550,99 Murray Rd,3,h,900000.0,12/11/2016,1.0,1.0,527.0,69.0,-37.7396,145.0174
ID613312198,8/192 Cecil St,1,u,460000.0,8/04/2017,1.0,1.0,0.0,49.0,-37.8344,144.9581
ID722769957,9/126 Atherton Rd,3,u,665000.0,30/07/2016,1.0,1.0,112.0,4.0,-37.9008,145.09799999999996
ID275422291,15 Carnon St,3,h,895000.0,24/06/2017,2.0,2.0,1036.0,65.0,-37.69538,145.11543
ID555813173,4/16 Repton Rd,2,u,480000.0,22/05/2016,1.0,1.0,0.0,49.0,-37.8811,145.0524
ID788873431,40 Waratah St,4,t,950000.0,18/03/2017,2.0,1.0,450.0,79.0,-37.9133,145.0837
ID177813401,22A Mernda Av,3,h,1508000.0,16/09/2017,2.0,2.0,338.0,8.0,-37.89235,145.04953999999995
ID500364555,2/16 Stapley Cr,2,h,510000.0,22/07/2017,1.0,1.0,170.0,18.0,-37.83658,144.86199
ID381721707,66 Durham Rd,4,h,1455000.0,10/12/2016,2.0,1.0,494.0,89.0,-37.8317,145.0901
ID302654916,1 Baird St,3,h,687000.0,20/05/2017,2.0,1.0,577.0,12.0,-37.7071,144.9706
ID497897307,6/219 Nicholson St,2,u,500000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.8015,144.9972
ID636988895,19/877 Punt Rd,1,u,360000.0,12/11/2016,1.0,1.0,0.0,49.0,-37.8339,144.9872
ID818801682,7 Kinnoull Gr,5,h,2650000.0,17/06/2017,3.0,2.0,662.0,59.0,-37.87853,145.15542
ID851699710,36 Primrose St,3,h,1065000.0,10/12/2016,1.0,1.0,395.0,109.0,-37.7593,144.9276
ID894404668,10/81 Koornang Rd,2,u,662000.0,17/09/2016,2.0,1.0,0.0,49.0,-37.8873,145.0572
ID693273713,7 Valdemar Ct,4,h,1447000.0,25/02/2017,1.0,2.0,590.0,20.0,-37.9286,145.0274
ID443170593,3 Diosma Ct,3,h,1155000.0,26/08/2017,2.0,2.0,2405.0,39.0,-38.16457,145.12421
ID542955178,702/127 Beach St,2,u,1252000.0,24/09/2016,1.0,2.0,0.0,13.0,-37.8399,144.9287
ID236447604,52 Spicer Bvd,4,h,750000.0,23/09/2017,2.0,2.0,636.0,23.0,-37.87941,144.76935
ID236188219,3/30 Grosvenor St,4,h,2550000.0,29/04/2017,3.0,2.0,263.0,14.0,-37.9099,144.9899
ID552076471,15 Alberta St,3,h,845000.0,1/07/2017,1.0,2.0,422.0,69.0,-37.796440000000004,144.86388
ID361568261,66 Springvale Rd,5,h,1060000.0,17/06/2017,3.0,2.0,766.0,49.0,-37.81113,145.17681000000005
ID134781759,18 Lorraine St,4,h,2355000.0,25/02/2017,2.0,3.0,715.0,99.0,-37.7582,144.9128
ID794259416,20 Kent St,2,h,920000.0,15/07/2017,2.0,0.0,234.0,109.0,-37.78052,144.93001999999996
ID364323377,2/13 Fenacre St,3,h,622500.0,16/07/2016,2.0,2.0,254.0,15.0,-37.7302,144.9167
ID111396233,3/11 Ormond Rd,2,u,410000.0,26/07/2016,1.0,1.0,0.0,49.0,-37.903,145.0452
ID628809045,1/124 Cuthbert St,3,t,465000.0,1/07/2017,2.0,3.0,248.0,9.0,-37.68358,144.92387
ID476390265,52a Florence St,3,h,1190000.0,16/09/2017,2.0,2.0,297.0,14.0,-37.85537,144.87578
ID491006093,10/38 Kensington Rd,1,u,555000.0,29/07/2017,1.0,1.0,0.0,54.0,-37.83631,145.00181
ID724058600,9/21 Doncaster East Rd,3,t,973000.0,12/08/2017,2.0,2.0,323.0,7.0,-37.8099,145.19506
ID918967352,24 McIntosh St,3,h,571000.0,22/05/2016,1.0,2.0,589.0,59.0,-37.7856,144.8177
ID972062675,5 Charles St,4,h,705000.0,25/02/2017,2.0,1.0,570.0,79.0,-37.7749,144.8329
ID147802158,5 Saunders St,4,h,1150000.0,28/05/2016,1.0,2.0,633.0,29.0,-37.7531,144.9504
ID611755507,37 Thompson St,4,h,1715000.0,3/12/2016,2.0,2.0,705.0,97.0,-37.9035,145.028
ID661890608,1411 Dandenong Rd,4,h,1290000.0,13/05/2017,2.0,2.0,395.0,109.0,-37.8914,145.0842
ID704891146,5/14 Devon Rd,2,t,500000.0,3/09/2017,2.0,1.0,74.0,8.0,-37.72184,144.92969
ID265455575,82 Highett Rd,3,h,1615000.0,6/05/2017,1.0,2.0,681.0,59.0,-37.9462,145.0193
ID839893933,1/204 Brougham St,3,t,800000.0,12/11/2016,2.0,2.0,848.0,49.0,-37.796,145.0324
ID349538438,17 Hampshire Rd,3,h,702000.0,10/09/2016,1.0,1.0,542.0,69.0,-37.7949,144.8303
ID437713580,1 Meagher St,3,h,741000.0,12/11/2016,1.0,1.0,671.0,59.0,-37.7072,145.0855
ID156780269,6 Middlesex St,3,h,808000.0,10/12/2016,1.0,2.0,692.0,59.0,-37.771,144.8428
ID927957687,5 Florence St,4,h,1495000.0,4/06/2016,2.0,2.0,597.0,79.0,-37.9179,145.019
ID147441613,33 McCarron Pde,4,h,1635000.0,15/10/2016,1.0,2.0,638.0,119.0,-37.7523,144.9052
ID449058465,1906/229 Toorak Rd,1,u,402000.0,3/12/2016,1.0,1.0,0.0,6.0,-37.8392,144.9947
ID678844099,22 Yongala St,5,h,2250000.0,3/12/2016,3.0,2.0,600.0,13.0,-37.8061,145.0801
ID397521617,6 Mattea Ct,3,u,672000.0,27/06/2016,1.0,2.0,855.0,7.0,-37.7328,145.0348
ID219087535,6/13 Alexander St,1,u,365000.0,15/07/2017,1.0,0.0,0.0,59.0,-37.795970000000004,144.99108
ID306179466,26 Bardia St,2,h,735000.0,22/07/2017,1.0,4.0,600.0,69.0,-37.74798,145.03765
ID724937133,41 Cameron St,3,h,1320000.0,24/09/2016,2.0,2.0,171.0,129.0,-37.8166,144.9987
ID291674135,76 Newry St,2,h,1116000.0,3/09/2016,1.0,0.0,152.0,109.0,-37.791,144.9809
ID206856144,4/22 Newcastle St,2,u,485000.0,14/05/2016,1.0,1.0,117.0,54.0,-37.7514,145.0118
ID963093955,2/125 Fosters Rd,3,u,455000.0,27/06/2016,1.0,1.0,166.0,20.0,-37.7169,144.8582
