,ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Latitude,Longtitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
0,ID195198670,23 Duffy St,MARIBYRNONG,1180000,h,25/02/2017,4,3,2,688,59,-37.7713,144.8937,20038,2325,12.07692308,-1,717,1763,318
1,ID426935414,73 Westbourne Gr,NORTHCOTE,1550000,h,15/07/2017,3,2,2,422,69,-37.77348,144.99206,20016,492,22.72727273,-1,142,344,39
2,ID924392942,19 Charles St,NORTHCOTE,1360000,h,23/09/2017,3,2,1,184,109,-37.77651,144.99074,20017,246,21.72727273,-1,142,344,39
3,ID781852666,283 Tyler St,PRESTON,928000,h,18/03/2017,3,2,1,0,69,-37.7307,145.0097,20011,661,31.6,-1,705,5479,335
4,ID345928500,8/211 Edwardes St,RESERVOIR,336000,u,3/12/2016,2,1,1,99,49,-37.7166,144.9911,20010,1400,33.38461538,-1,824,1890,159
5,ID317414938,2b Rice St,MOORABBIN,910000,t,12/11/2016,3,2,2,312,19,-37.9412,145.0491,19872,1024,38.5,-1,71,261,20
6,ID171719689,8/102 Cross St,WEST FOOTSCRAY,480000,u,3/6/2017,2,1,1,1157,99,-37.80029,144.87859,20023,616,11,-1,298,735,154
7,ID769666978,1/22 Rathmines St,FAIRFIELD,667000,u,17/06/2017,2,1,1,86,10,-37.78203,145.01508,19930,356,24,-1,330,1855,82
8,ID826546296,8 Gordon Pde,YARRAVILLE,990000,h,6/5/2017,3,1,2,340,79,-37.8227,144.8827,19995,928,15.18181818,0,817,1779,181
9,ID679739347,118 Rowans Rd,MOORABBIN,901000,h,16/07/2016,3,2,3,558,64,-37.9435,145.0522,19872,1060,38.5,-1,71,261,20
10,ID776930874,129 Hambleton St,MIDDLE PARK,1630000,h,29/04/2017,3,1,0,143,119,-37.8484,144.963,19958,2364,20,-1,313,545,65
11,ID271480181,4/129 Mountain View Rd,BRIAR HILL,625000,t,19/08/2017,2,2,1,189,13,-37.70835,145.11795,19986,835,47,-1,59,124,5
12,ID361482205,48 Gordon St,FAIRFIELD,1510000,h,28/05/2016,3,1,1,453,49,-37.7772,145.0232,19930,596,24,-1,334,1407,88
13,ID404594744,302/34 Union St,BRUNSWICK,1180000,u,27/11/2016,2,1,1,0,9,-37.7738,144.9585,19969,134,12,-1,703,1502,135
14,ID143752726,74 Bridport St,ALBERT PARK,2800000,h,30/07/2016,3,3,1,0,129,-37.8399,144.9577,20043,2443,0,-1,1202,5034,333
15,ID307578621,7 Huxley Ct,BAYSWATER,1030000,h,24/06/2017,4,2,2,1094,49,-37.85757,145.2615,19870,1857,51,-1,97,233,26
16,ID357469763,21 Eden St,HEIDELBERG HEIGHTS,650000,h,12/8/2017,2,1,0,683,21,-37.75022,145.04778,19935,1368,32.25,-1,1173,8523,974
17,ID194053751,3/40 Rowland St,KEW,891000,u,28/05/2016,2,1,1,121,10,-37.8126,145.0534,19903,1277,19.66666667,-1,271,771,74
