BANYULE : ['Abbotsford', 'Airport West', 'Albert Park', 'Alphington']
BRIMBANK : ['Altona', 'Altona North', 'Armadale', 'Ascot Vale']
DAREBIN : ['Ashburton', 'Ashwood', 'Avondale Heights', 'Balaclava']
HOBSONS BAY : ['Balwyn', 'Balwyn North', 'Bentleigh', 'Bentleigh East']
HUME : ['Box Hill', 'Braybrook', 'Brighton', 'Brighton East']
MARIBYRNONG : ['Brunswick', 'Brunswick West', 'Bulleen', 'Burwood']
MELBOURNE : ['Camberwell', 'Canterbury', 'Carlton North', 'Carnegie']
MELTON : ['Caulfield', 'Caulfield North', 'Caulfield South', 'Chadstone']
MOONEE VALLEY : ['Clifton Hill', 'Coburg', 'Coburg North', 'Collingwood']
MORELAND : ['Doncaster', 'Eaglemont', 'Elsternwick', 'Elwood']
NILLUMBIK : ['Essendon', 'Essendon North', 'Fairfield', 'Fitzroy']
WHITTLESEA : ['Fitzroy North', 'Flemington', 'Footscray', 'Glen Iris']
WYNDHAM : ['Glenroy', 'Gowanbrae', 'Hadfield', 'Hampton']
YARRA : ['Hampton East', 'Hawthorn', 'Heidelberg Heights', 'Heidelberg West']
BASS COAST : ['Hughesdale', 'Ivanhoe', 'Kealba', 'Keilor East']
SOUTH GIPPSLAND : ['Kensington', 'Kew', 'Kew East', 'Kooyong']
BAW BAW : ['Maidstone', 'Malvern', 'Malvern East', 'Maribyrnong']
BENALLA : ['Melbourne', 'Middle Park', 'Mont Albert', 'Moonee Ponds']
MANSFIELD : ['Moorabbin', 'Newport', 'Niddrie', 'North Melbourne']
MURRINDINDI : ['Northcote', 'Oak Park', 'Oakleigh South', 'Parkville']
BOROONDARA : ['Pascoe Vale', 'Port Melbourne', 'Prahran', 'Preston']
EAST GIPPSLAND : ['Reservoir', 'Richmond', 'Rosanna', 'Seddon']
GREATER SHEPPARTON : ['South Melbourne', 'South Yarra', 'Southbank', 'Spotswood']
KNOX : ['St Kilda', 'Strathmore', 'Sunshine', 'Sunshine North']
LATROBE : ['Sunshine West', 'Surrey Hills', 'Templestowe Lower', 'Thornbury']
MANNINGHAM : ['Toorak', 'Viewbank', 'Watsonia', 'West Melbourne']
MAROONDAH : ['Williamstown', 'Williamstown North', 'Windsor', 'Yallambie']
MITCHELL : ['Yarraville', 'Aberfeldie', 'Bellfield', 'Brunswick East']
STRATHBOGIE : ['Burnley', 'Campbellfield', 'Carlton', 'East Melbourne']
MONASH : ['Essendon West', 'Fawkner', 'Hawthorn East', 'Heidelberg']
ALPINE : ['Ivanhoe East', 'Jacana', 'Kingsbury', 'Kingsville']
MOIRA : ['Murrumbeena', 'Ormond', 'West Footscray', 'Albion']
WANGARATTA : ['Brooklyn', 'Glen Huntly', 'Oakleigh', 'Ripponlea']
WELLINGTON : ['Cremorne', 'Docklands', 'South Kingsville', 'Strathmore Heights']
WHITEHORSE : ['Travancore', 'Caulfield East', 'Seaholme', 'Keilor Park']
INDIGO : ['Gardenvale', 'Princes Hill', 'Bayswater', 'Bayswater North']
TOWONG : ['Beaumaris', 'Berwick', 'Boronia', 'Briar Hill']
WODONGA : ['Broadmeadows', 'Bundoora', 'Burnside Heights', 'Burwood East']
YARRA RANGES : ['Cairnlea', 'Caroline Springs', 'Cheltenham', 'Craigieburn']
CARDINIA : ['Cranbourne', 'Croydon', 'Dandenong', 'Dandenong North']
CASEY : ['Diamond Creek', 'Dingley Village', 'Doncaster East', 'Donvale']
FRANKSTON : ['Doreen', 'Eltham', 'Epping', 'Forest Hill']
BAYSIDE : ['Frankston', 'Frankston North', 'Frankston South', 'Gisborne']
GLEN EIRA : ['Gladstone Park', 'Greensborough', 'Hallam', 'Healesville']
GREATER DANDENONG : ['Highett', 'Hillside', 'Huntingdale', 'Keilor Downs']
KINGSTON : ['Keilor Lodge', 'Keysborough', 'Kings Park', 'Lalor']
MORNINGTON PENINSULA : ['Lower Plenty', 'Melton', 'Mernda', 'Mill Park']
PORT PHILLIP : ['Mitcham', 'Montmorency', 'Mordialloc', 'Mount Waverley']
STONNINGTON : ['Narre Warren', 'Nunawading', 'Oakleigh East', 'Parkdale']
BALLARAT : ['Point Cook', 'Ringwood East', 'Rockbank', 'Rowville']
PYRENEES : ['Sandringham', 'Seaford', 'Skye', 'South Morang']
GREATER BENDIGO : ['Springvale', 'St Albans', 'Sunbury', 'Tarneit']
